City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,AQI_Category
Bangkok,Thailand,2023-01-01,127.1,94.4,35.41,27.576666666666664,6.156666666666666,69.49,5.833333333333333,48.5,13.843333333333334,Unhealthy
Bangkok,Thailand,2023-01-02,104.98,165.26,85.305,27.49,3.555,105.335,22.245,63.745000000000005,10.84,Unhealthy
Bangkok,Thailand,2023-01-03,40.14333333333334,56.84333333333333,47.01666666666667,11.893333333333333,3.963333333333333,117.69,5.170000000000001,62.49666666666667,4.363333333333333,Unhealthy
Bangkok,Thailand,2023-01-04,119.8,63.31,28.33,19.67,1.46,67.52,27.96,12.94,1.85,Unhealthy
Bangkok,Thailand,2023-01-05,95.64,192.46,37.28,46.64,8.5,159.19,14.02,91.29,2.49,Unhealthy
Bangkok,Thailand,2023-01-06,130.92000000000002,167.555,67.36,30.315,3.425,138.685,6.315000000000001,53.33,9.975,Unhealthy
Bangkok,Thailand,2023-01-07,101.44333333333334,108.60333333333334,46.126666666666665,45.50666666666667,7.073333333333333,61.65,17.493333333333332,60.81,9.91,Unhealthy
Bangkok,Thailand,2023-01-08,87.42,49.01,66.21,21.19,3.73,109.06,-3.44,48.43,19.5,Unhealthy
Bangkok,Thailand,2023-01-09,91.095,104.805,72.425,22.25,3.73,75.715,8.940000000000001,56.39,10.7,Unhealthy
Bangkok,Thailand,2023-01-10,94.77,160.6,78.64,23.31,3.73,42.37,21.32,64.35,1.9,Unhealthy
Bangkok,Thailand,2023-01-11,72.82000000000001,98.465,28.855,4.16,4.33,123.88,17.470000000000002,34.43,12.745,Unhealthy
Bangkok,Thailand,2023-01-12,88.0875,111.5775,49.0025,8.185,5.6850000000000005,85.63,15.302500000000002,38.025000000000006,9.5925,Unhealthy
Bangkok,Thailand,2023-01-13,103.355,124.69,69.15,12.21,7.04,47.38,13.135,41.620000000000005,6.44,Unhealthy
Bangkok,Thailand,2023-01-14,102.01,168.55,63.15,14.87,5.54,12.24,21.55,60.34,14.07,Unhealthy
Bangkok,Thailand,2023-01-15,59.56,172.04,73.73,16.52,9.09,195.43,-7.77,11.55,10.46,Unhealthy
Bangkok,Thailand,2023-01-16,37.615,70.05499999999999,63.345,30.755,8.67,107.335,35.26,61.4,10.11,Unhealthy
Bangkok,Thailand,2023-01-17,37.86,82.08,61.5,18.86,9.46,121.52,14.85,26.04,1.62,Unhealthy
Bangkok,Thailand,2023-01-18,130.77,162.96,6.73,20.4,8.37,21.07,-9.1,95.47,9.47,Unhealthy
Bangkok,Thailand,2023-01-19,36.715,110.61,33.955,7.925,5.375,164.035,16.825,70.16,11.5,Unhealthy
Bangkok,Thailand,2023-01-20,76.76,196.97,15.96,30.17,9.78,37.61,22.0,37.85,19.98,Unhealthy
Bangkok,Thailand,2023-01-21,104.775,62.29,47.235,38.99,5.235,138.325,20.87,61.1,9.86,Unhealthy
Bangkok,Thailand,2023-01-22,119.07,176.26,62.17,47.58,9.01,103.11,15.41,43.9,15.62,Unhealthy
Bangkok,Thailand,2023-01-23,49.0,76.47333333333333,55.03333333333334,31.586666666666662,3.18,144.18333333333334,25.13,67.48,14.746666666666668,Unhealthy
Bangkok,Thailand,2023-01-24,125.5,164.13,45.17,22.74,0.67,129.49,-0.57,95.47,8.88,Unhealthy
Bangkok,Thailand,2023-01-25,113.725,127.04,69.465,29.105,4.7,165.765,28.585,68.345,13.15,Unhealthy
Bangkok,Thailand,2023-01-26,88.695,106.9575,75.95750000000001,23.6675,4.6525,150.64249999999998,19.525,65.4225,15.1125,Unhealthy
Bangkok,Thailand,2023-01-27,63.665,86.875,82.45,18.23,4.605,135.51999999999998,10.465,62.5,17.075000000000003,Unhealthy
Bangkok,Thailand,2023-01-28,106.27,106.1,6.71,42.14,3.26,137.46,13.84,58.36,19.77,Unhealthy
Bangkok,Thailand,2023-01-29,101.3,104.054375,20.970625,38.549375,3.234375,130.764375,12.0,60.1525,17.74375,Unhealthy
Bangkok,Thailand,2023-01-30,96.33,102.00875,35.23125,34.95875,3.20875,124.06875,10.16,61.945,15.7175,Unhealthy
Bangkok,Thailand,2023-01-31,91.36,99.963125,49.491875,31.368125,3.1831249999999995,117.373125,8.32,63.7375,13.69125,Unhealthy
Bangkok,Thailand,2023-02-01,86.39,97.9175,63.7525,27.7775,3.1575,110.6775,6.48,65.53,11.665,Unhealthy
Bangkok,Thailand,2023-02-02,116.965,170.91000000000005,63.595,30.665,9.29,130.815,9.240000000000002,56.385000000000005,13.41,Unhealthy
Bangkok,Thailand,2023-02-03,60.015,99.61,43.22,18.915,5.865,99.135,14.195,40.975,7.824999999999999,Unhealthy
Bangkok,Thailand,2023-02-04,103.60333333333334,164.37,57.68666666666667,19.92333333333333,6.07,108.13666666666666,17.046666666666667,71.53333333333333,12.713333333333331,Unhealthy
Bangkok,Thailand,2023-02-05,141.95,73.75,88.56,44.03,6.58,134.26,18.86,46.68,8.35,Unhealthy
Bangkok,Thailand,2023-02-06,73.22,162.98000000000002,72.7,25.885,3.91,66.895,28.275,73.95,18.56,Unhealthy
Bangkok,Thailand,2023-02-07,86.43666666666667,96.26666666666668,48.63999999999999,25.290000000000003,6.026666666666666,138.26333333333335,7.48,54.09333333333333,14.75,Unhealthy
Bangkok,Thailand,2023-02-08,109.48,29.83,76.19,22.2,0.37,82.31,-7.8,74.32,11.34,Unhealthy
Bangkok,Thailand,2023-02-09,66.14,16.64,69.71,2.61,9.55,115.98,29.61,56.55,11.8,Unhealthy
Bangkok,Thailand,2023-02-10,90.45,31.98,64.78,9.025,6.585000000000001,97.245,33.22,44.86,14.29,Unhealthy
Bangkok,Thailand,2023-02-11,114.76,47.32,59.85,15.44,3.62,78.51,36.83,33.17,16.78,Unhealthy
Bangkok,Thailand,2023-02-12,58.53,92.81,38.195,14.79,5.79,66.255,-3.645,61.175,14.44,Unhealthy
Bangkok,Thailand,2023-02-13,115.915,136.9,77.545,9.74,5.62,31.185,19.765,47.58,13.07,Unhealthy
Bangkok,Thailand,2023-02-14,101.9075,154.87,62.695,22.5075,6.3825,60.3575,19.365,49.79,11.9425,Unhealthy
Bangkok,Thailand,2023-02-15,87.9,172.84,47.845,35.275,7.145,89.53,18.965,52.0,10.815,Unhealthy
Bangkok,Thailand,2023-02-16,59.13,137.3,43.75,41.2,5.075,121.615,19.22,71.02,9.465,Unhealthy
Bangkok,Thailand,2023-02-17,140.97,57.075,40.22,16.39,1.385,137.9,17.31,43.765,6.96,Unhealthy
Bangkok,Thailand,2023-02-18,100.325,101.755,80.49,33.055,8.375,111.72,-2.7250000000000005,53.28,3.37,Unhealthy
Bangkok,Thailand,2023-02-19,55.16333333333333,100.31666666666666,82.7,17.643333333333334,6.98,86.47666666666667,28.183333333333334,56.39333333333334,15.936666666666667,Unhealthy
Bangkok,Thailand,2023-02-20,111.555,124.895,73.13,34.325,3.61,92.325,16.3,44.575,10.11,Unhealthy
Bangkok,Thailand,2023-02-21,71.76,106.65,75.385,19.195,4.76,55.595,20.59,64.945,18.55,Unhealthy
Bangkok,Thailand,2023-02-22,20.68,39.32,58.18,14.4,6.88,173.78,3.57,73.03,6.025,Moderate
Bangkok,Thailand,2023-02-23,60.81999999999999,46.51,46.01,14.926666666666668,5.986666666666666,119.32666666666664,8.913333333333334,77.15,4.65,Unhealthy
Bangkok,Thailand,2023-02-24,100.95999999999998,53.7,33.84,15.453333333333331,5.093333333333334,64.87333333333332,14.256666666666668,81.27,3.2750000000000004,Unhealthy
Bangkok,Thailand,2023-02-25,141.1,60.89,21.67,15.98,4.2,10.42,19.6,85.39,1.9,Unhealthy
Bangkok,Thailand,2023-02-26,132.03,78.32666666666667,31.563333333333333,22.10333333333333,4.968333333333334,49.825,17.538333333333334,83.11833333333333,5.32,Unhealthy
Bangkok,Thailand,2023-02-27,122.96,95.76333333333334,41.45666666666666,28.226666666666663,5.736666666666666,89.22999999999999,15.476666666666668,80.84666666666666,8.74,Unhealthy
Bangkok,Thailand,2023-02-28,113.89,113.2,51.35,34.349999999999994,6.505,128.635,13.415,78.57499999999999,12.16,Unhealthy
Bangkok,Thailand,2023-03-01,49.37,187.17,24.86,30.59,0.79,77.01,17.07,17.19,1.37,Unhealthy
Bangkok,Thailand,2023-03-02,88.53,18.15,13.57,16.98,7.67,148.0,12.5,89.2,3.08,Unhealthy
Bangkok,Thailand,2023-03-03,61.08500000000001,22.33,28.705,37.58,3.57,122.31,19.23,38.11,12.03,Unhealthy
Bangkok,Thailand,2023-03-04,28.145,156.3,47.935,5.88,0.97,157.86,0.7149999999999999,54.275,18.75,Moderate
Bangkok,Thailand,2023-03-05,97.64,193.29,18.69,35.06,9.8,19.81,-1.6,90.02,15.22,Unhealthy
Bangkok,Thailand,2023-03-06,38.86,76.21,78.56,38.35,7.69,113.76,9.31,47.27,2.88,Unhealthy
Bangkok,Thailand,2023-03-07,69.07666666666667,96.99833333333332,75.05833333333334,30.205,5.75,125.81666666666666,17.40833333333333,48.89333333333334,7.905,Unhealthy
Bangkok,Thailand,2023-03-08,99.29333333333334,117.78666666666668,71.55666666666667,22.06,3.81,137.8733333333333,25.506666666666664,50.51666666666667,12.93,Unhealthy
Bangkok,Thailand,2023-03-09,106.255,44.68,42.925,36.27,5.630000000000001,70.64,0.2600000000000002,60.175,5.78,Unhealthy
Bangkok,Thailand,2023-03-10,123.34,66.07,97.71,42.29,5.26,35.89,11.11,39.2,5.23,Unhealthy
Bangkok,Thailand,2023-03-11,103.7325,106.6475,74.565,34.2825,4.6525,55.855,13.2175,42.7175,6.2475000000000005,Unhealthy
Bangkok,Thailand,2023-03-12,84.125,147.225,51.42,26.275,4.045,75.82,15.325,46.235,7.265000000000001,Unhealthy
Bangkok,Thailand,2023-03-13,146.7,19.19,49.25,49.01,8.91,107.53,2.24,73.29,3.29,Unhealthy
Bangkok,Thailand,2023-03-14,131.89,164.88,18.49,6.48,7.27,34.4,12.98,12.93,18.01,Unhealthy
Bangkok,Thailand,2023-03-15,88.55499999999999,132.375,30.380000000000003,10.87,5.51,23.03,4.93,49.830000000000005,10.545000000000002,Unhealthy
Bangkok,Thailand,2023-03-16,45.22,99.87,42.27,15.26,3.75,11.66,-3.12,86.73,3.08,Unhealthy
Bangkok,Thailand,2023-03-17,76.21000000000001,115.675,33.8,30.49,3.715,73.69,-5.005,87.83500000000001,7.86,Unhealthy
Bangkok,Thailand,2023-03-18,107.2,131.48,25.33,45.72,3.68,135.72,-6.89,88.94,12.64,Unhealthy
Bangkok,Thailand,2023-03-19,70.32499999999999,94.84,94.815,16.11,5.984999999999999,23.555,11.055,50.925,10.56,Unhealthy
Bangkok,Thailand,2023-03-20,90.92083333333332,80.54666666666668,70.67416666666666,14.303333333333336,5.864166666666666,41.395833333333336,17.7475,59.01416666666667,9.681666666666668,Unhealthy
Bangkok,Thailand,2023-03-21,111.51666666666664,66.25333333333334,46.53333333333333,12.496666666666668,5.743333333333333,59.23666666666667,24.44,67.10333333333334,8.803333333333333,Unhealthy
Bangkok,Thailand,2023-03-22,76.63333333333333,62.15166666666667,43.85166666666667,24.10833333333333,3.7416666666666663,103.95833333333334,29.39,46.96166666666667,13.186666666666667,Unhealthy
Bangkok,Thailand,2023-03-23,41.75,58.05,41.17,35.72,1.74,148.68,34.34,26.82,17.57,Unhealthy
Bangkok,Thailand,2023-03-24,58.55625,94.74125,62.5125,34.2575,4.35125,130.88375000000002,26.667500000000004,30.79875,14.47875,Unhealthy
Bangkok,Thailand,2023-03-25,75.3625,131.4325,83.855,32.795,6.9625,113.0875,18.995,34.7775,11.3875,Unhealthy
Bangkok,Thailand,2023-03-26,113.325,122.425,47.255,8.084999999999999,7.535,95.98,19.35,76.565,13.31,Unhealthy
Bangkok,Thailand,2023-03-27,125.02333333333333,86.61666666666667,44.38666666666666,30.1,2.306666666666666,28.96333333333333,4.88,66.57333333333334,11.923333333333332,Unhealthy
Bangkok,Thailand,2023-03-28,46.18,115.97,7.16,41.11,4.39,54.55,19.12,58.59,18.79,Unhealthy
Bangkok,Thailand,2023-03-29,44.9925,104.2075,9.0,35.745,4.7075,47.74,23.0275,64.105,17.325,Unhealthy
Bangkok,Thailand,2023-03-30,43.805,92.445,10.84,30.38,5.025,40.93,26.935,69.62,15.86,Unhealthy
Bangkok,Thailand,2023-03-31,42.6175,80.6825,12.68,25.015,5.3425,34.12,30.8425,75.135,14.395,Unhealthy
Bangkok,Thailand,2023-04-01,41.43,68.92,14.52,19.65,5.66,27.31,34.75,80.65,12.93,Unhealthy
Bangkok,Thailand,2023-04-02,126.115,101.34,63.2025,11.915,5.715,114.1575,11.1525,59.92,9.46,Unhealthy
Bangkok,Thailand,2023-04-03,70.63666666666667,102.34333333333332,59.75333333333333,34.0,3.3633333333333333,65.85333333333334,11.776666666666666,62.10333333333333,7.436666666666667,Unhealthy
Bangkok,Thailand,2023-04-04,98.21,86.39,39.28,18.27,1.81,79.255,4.085,60.95,16.66,Unhealthy
Bangkok,Thailand,2023-04-05,45.525,114.51,46.48,32.08,8.015,41.620000000000005,9.18,20.125,9.29,Unhealthy
Bangkok,Thailand,2023-04-06,91.8275,106.435,51.73,39.17,6.9125,29.64,1.3949999999999996,49.2275,9.829999999999998,Unhealthy
Bangkok,Thailand,2023-04-07,138.13,98.36,56.98,46.26,5.81,17.66,-6.39,78.33,10.37,Unhealthy
Bangkok,Thailand,2023-04-08,31.06,52.175,72.19,41.99,8.6,71.46,12.239999999999998,47.265,17.35,Moderate
Bangkok,Thailand,2023-04-09,78.61666666666666,113.61333333333334,74.58333333333333,14.953333333333331,4.673333333333334,108.09666666666668,3.2099999999999995,44.923333333333325,7.789999999999999,Unhealthy
Bangkok,Thailand,2023-04-10,45.68,81.79,44.73,14.76,8.88,153.35,1.0,40.27,15.34,Unhealthy
Bangkok,Thailand,2023-04-11,28.21,110.2,47.09,23.38,2.25,75.04,-6.17,36.8,16.94,Moderate
Bangkok,Thailand,2023-04-12,9.56,199.89,18.25,22.45,5.99,43.66,-2.63,40.15,4.31,Good
Bangkok,Thailand,2023-04-13,65.05,82.3,65.75,6.68,2.62,127.99,37.78,77.77,19.4,Unhealthy
Bangkok,Thailand,2023-04-14,32.16,16.54,45.5,28.18,7.72,92.47,23.66,12.98,8.95,Moderate
Bangkok,Thailand,2023-04-15,77.07,163.765,74.965,28.335,7.015,32.99,22.485,55.565,9.4,Unhealthy
Bangkok,Thailand,2023-04-16,36.315,114.7975,45.72,15.3,5.495,120.355,26.1425,55.845,8.295,Unhealthy
Bangkok,Thailand,2023-04-17,138.62,124.59,29.83,42.36,6.21,77.52,1.1,82.78,13.22,Unhealthy
Bangkok,Thailand,2023-04-18,64.825,85.08,78.055,6.78,5.81,144.62,13.835,87.42,7.935,Unhealthy
