City,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,AQI_Category
Bangkok,2023-01-01,127.1,94.4,35.41,27.58,6.16,69.49,5.83,48.5,13.84,Unhealthy
Bangkok,2023-01-02,104.98,165.26,85.3,27.49,3.56,105.34,22.24,63.74,10.84,Unhealthy
Bangkok,2023-01-03,40.14,56.84,47.02,11.89,3.96,117.69,5.17,62.5,4.36,Good
Bangkok,2023-01-04,119.8,63.31,28.33,19.67,1.46,67.52,27.96,12.94,1.85,Unhealthy
Bangkok,2023-01-05,95.64,192.46,37.28,46.64,8.5,159.19,14.02,91.29,2.49,Moderate
Bangkok,2023-01-06,130.92,167.56,67.36,30.32,3.42,138.68,6.32,53.33,9.98,Unhealthy
Bangkok,2023-01-07,101.44,108.6,46.13,45.51,7.07,61.65,17.49,60.81,9.91,Unhealthy
Bangkok,2023-01-08,87.42,49.01,66.21,21.19,3.73,109.06,-3.44,48.43,19.5,Moderate
Bangkok,2023-01-09,91.1,104.8,72.42,22.25,3.73,75.72,8.94,56.39,10.7,Moderate
Bangkok,2023-01-10,94.77,160.6,78.64,23.31,3.73,42.37,21.32,64.35,1.9,Moderate
Bangkok,2023-01-11,72.82,98.46,28.86,4.16,4.33,123.88,17.47,34.43,12.74,Moderate
Bangkok,2023-01-12,88.09,111.58,49.0,8.18,5.68,85.63,15.3,38.03,9.59,Moderate
Bangkok,2023-01-13,103.36,124.69,69.15,12.21,7.04,47.38,13.14,41.62,6.44,Unhealthy
Bangkok,2023-01-14,102.01,168.55,63.15,14.87,5.54,12.24,21.55,60.34,14.07,Unhealthy
Bangkok,2023-01-15,59.56,172.04,73.73,16.52,9.09,195.43,-7.77,11.55,10.46,Good
Bangkok,2023-01-16,37.61,70.05,63.34,30.76,8.67,107.34,35.26,61.4,10.11,Good
Bangkok,2023-01-17,37.86,82.08,61.5,18.86,9.46,121.52,14.85,26.04,1.62,Good
Bangkok,2023-01-18,130.77,162.96,6.73,20.4,8.37,21.07,-9.1,95.47,9.47,Unhealthy
Bangkok,2023-01-19,36.72,110.61,33.96,7.92,5.38,164.04,16.82,70.16,11.5,Good
Bangkok,2023-01-20,76.76,196.97,15.96,30.17,9.78,37.61,22.0,37.85,19.98,Moderate
Bangkok,2023-01-21,104.78,62.29,47.24,38.99,5.24,138.32,20.87,61.1,9.86,Unhealthy
Bangkok,2023-01-22,119.07,176.26,62.17,47.58,9.01,103.11,15.41,43.9,15.62,Unhealthy
Bangkok,2023-01-23,49.0,76.47,55.03,31.59,3.18,144.18,25.13,67.48,14.75,Good
Bangkok,2023-01-24,125.5,164.13,45.17,22.74,0.67,129.49,-0.57,95.47,8.88,Unhealthy
Bangkok,2023-01-25,113.72,127.04,69.46,29.1,4.7,165.76,28.58,68.34,13.15,Unhealthy
Bangkok,2023-01-26,88.7,106.96,75.96,23.67,4.65,150.64,19.52,65.42,15.11,Moderate
Bangkok,2023-01-27,63.66,86.88,82.45,18.23,4.61,135.52,10.46,62.5,17.08,Good
Bangkok,2023-01-28,106.27,106.1,6.71,42.14,3.26,137.46,13.84,58.36,19.77,Unhealthy
Bangkok,2023-01-29,101.3,104.05,20.97,38.55,3.23,130.76,12.0,60.15,17.74,Unhealthy
Bangkok,2023-01-30,96.33,102.01,35.23,34.96,3.21,124.07,10.16,61.94,15.72,Moderate
Bangkok,2023-01-31,91.36,99.96,49.49,31.37,3.18,117.37,8.32,63.74,13.69,Moderate
Bangkok,2023-02-01,86.39,97.92,63.75,27.78,3.16,110.68,6.48,65.53,11.66,Moderate
Bangkok,2023-02-02,116.96,170.91,63.6,30.66,9.29,130.82,9.24,56.39,13.41,Unhealthy
Bangkok,2023-02-03,60.02,99.61,43.22,18.92,5.86,99.14,14.2,40.98,7.82,Good
Bangkok,2023-02-04,103.6,164.37,57.69,19.92,6.07,108.14,17.05,71.53,12.71,Unhealthy
Bangkok,2023-02-05,141.95,73.75,88.56,44.03,6.58,134.26,18.86,46.68,8.35,Unhealthy
Bangkok,2023-02-06,73.22,162.98,72.7,25.88,3.91,66.9,28.28,73.95,18.56,Moderate
Bangkok,2023-02-07,86.44,96.27,48.64,25.29,6.03,138.26,7.48,54.09,14.75,Moderate
Bangkok,2023-02-08,109.48,29.83,76.19,22.2,0.37,82.31,-7.8,74.32,11.34,Unhealthy
Bangkok,2023-02-09,66.14,16.64,69.71,2.61,9.55,115.98,29.61,56.55,11.8,Moderate
Bangkok,2023-02-10,90.45,31.98,64.78,9.02,6.59,97.24,33.22,44.86,14.29,Moderate
Bangkok,2023-02-11,114.76,47.32,59.85,15.44,3.62,78.51,36.83,33.17,16.78,Unhealthy
Bangkok,2023-02-12,58.53,92.81,38.2,14.79,5.79,66.26,-3.64,61.18,14.44,Good
Bangkok,2023-02-13,115.92,136.9,77.54,9.74,5.62,31.18,19.76,47.58,13.07,Unhealthy
Bangkok,2023-02-14,101.91,154.87,62.7,22.51,6.38,60.36,19.37,49.79,11.94,Unhealthy
Bangkok,2023-02-15,87.9,172.84,47.84,35.28,7.14,89.53,18.96,52.0,10.82,Moderate
Bangkok,2023-02-16,59.13,137.3,43.75,41.2,5.08,121.62,19.22,71.02,9.46,Good
Bangkok,2023-02-17,140.97,57.08,40.22,16.39,1.38,137.9,17.31,43.76,6.96,Unhealthy
Bangkok,2023-02-18,100.32,101.76,80.49,33.06,8.38,111.72,-2.73,53.28,3.37,Unhealthy
